"","Gm.","Year","DATE","X","Tm","Opp","W.L","Win","Loss","Save","Time","D.N","Attendance","TAVG","TMAX","TMIN"
"432",49,2012,"2012-05-28","boxscore","BOS","SEA","L","Bergman","Porcello","","3:14","D",37174,NA,69,60
"433",60,2012,"2012-06-09","boxscore","BOS","DET","W","Barnes","Wilson","Kimbrel","3:36","N",36853,NA,79,59
"434",61,2012,"2012-06-10","boxscore","BOS","DET","W","Sale","Saupold","","3:39","N",37162,NA,76,59
"435",62,2012,"2012-06-11","boxscore","BOS","DET","L","Norris","Pomeranz","","4:06","N",35457,NA,74,57
"436",63,2012,"2012-06-12","boxscore","BOS","PHI","W-wo","Barnes","Fien","","4:16","N",36757,NA,74,60
"437",64,2012,"2012-06-13","boxscore","BOS","PHI","W-wo","Abad","Garcia","","4:24","N",37141,NA,65,62
"438",73,2012,"2012-06-23","boxscore","BOS","LAA","W","Porcello","Meyer","","3:07","N",37034,NA,81,65
"439",74,2012,"2012-06-24","boxscore","BOS","LAA","L","Ramirez","Price","Parker","3:34","N",36868,NA,84,64
"440",75,2012,"2012-06-25","boxscore","BOS","LAA","L","Bridwell","Fister","Petit","2:50","D",36474,NA,73,61
"441",76,2012,"2012-06-26","boxscore","BOS","MIN","W","Sale","Berrios","Kimbrel","2:55","N",37172,NA,73,61
"442",77,2012,"2012-06-27","boxscore","BOS","MIN","W","Pomeranz","Santiago","","3:18","N",36804,NA,77,61
"443",78,2012,"2012-06-28","boxscore","BOS","MIN","L","Mejia","Porcello","Kintzler","3:14","N",37487,NA,83,65
"444",79,2012,"2012-06-29","boxscore","BOS","MIN","W","Price","Gibson","Kimbrel","3:24","N",37445,NA,89,66
"445",90,2012,"2012-07-14","boxscore","BOS","NYY","W-wo","Scott","Chapman","","3:27","N",37570,NA,91,72
"446",91,2012,"2012-07-15","boxscore","BOS","NYY","L","Heller","Fister","","5:50","D",36936,NA,91,72
"447",92,2012,"2012-07-16","boxscore","BOS","NYY","L","Sabathia","Porcello","Chapman","3:13","D",37343,NA,88,72
"448",93,2012,"2012-07-16","boxscore","BOS","NYY","W","Price","Tanaka","Kimbrel","2:59","N",36719,NA,88,72
"449",94,2012,"2012-07-17","boxscore","BOS","TOR","L","Tepera","Hembree","Osuna","3:18","N",36144,NA,97,76
"450",95,2012,"2012-07-18","boxscore","BOS","TOR","W-wo","Velazquez","Bolsinger","","4:59","N",36488,NA,89,70
"451",96,2012,"2012-07-19","boxscore","BOS","TOR","W","Pomeranz","Sanchez","","2:47","N",37360,NA,74,66
"452",97,2012,"2012-07-20","boxscore","BOS","TOR","L","Leone","Fister","Osuna","3:25","D",37094,NA,71,64
"453",104,2012,"2012-07-28","boxscore","BOS","KCR","L","Vargas","Porcello","Herrera","2:44","N",37321,NA,72,63
"454",105,2012,"2012-07-29","boxscore","BOS","KCR","W-wo","Barnes","Minor","","4:45","N",36912,NA,73,64
"455",106,2012,"2012-07-30","boxscore","BOS","KCR","L","Hammel","Barnes","Herrera","3:13","D",36480,NA,81,63
"456",107,2012,"2012-07-31","boxscore","BOS","CLE","W","Fister","Clevinger","","2:47","N",37169,NA,73,63
"457",108,2012,"2012-08-01","boxscore","BOS","CLE","W-wo","Kimbrel","Allen","","3:36","N",37126,NA,78,68
"458",109,2012,"2012-08-03","boxscore","BOS","CHW","W","Porcello","Gonzalez","","3:26","N",37442,NA,92,72
"459",110,2012,"2012-08-04","boxscore","BOS","CHW","W-wo","Hembree","Bummer","","3:43","N",36612,NA,82,74
"460",111,2012,"2012-08-05","boxscore","BOS","CHW","W","Pomeranz","Shields","Kimbrel","2:41","N",36599,NA,88,72
"461",112,2012,"2012-08-06","boxscore","BOS","CHW","W","Fister","Pelfrey","Kimbrel","2:36","D",37283,NA,85,71
"462",118,2012,"2012-08-14","boxscore","BOS","CLE","L","Bauer","Fister","","3:14","N",37430,NA,83,70
"463",119,2012,"2012-08-15","boxscore","BOS","STL","W","Porcello","Leake","","2:52","N",37345,NA,84,66
"464",120,2012,"2012-08-16","boxscore","BOS","STL","W-wo","Kimbrel","Duke","","3:35","N",37181,NA,85,67
"465",121,2012,"2012-08-18","boxscore","BOS","NYY","W","Reed","Kahnle","Kimbrel","4:09","N",36784,NA,72,64
"466",122,2012,"2012-08-19","boxscore","BOS","NYY","L","Sabathia","Sale","Betances","3:09","N",37274,NA,73,61
"467",123,2012,"2012-08-20","boxscore","BOS","NYY","W","Porcello","Gray","","3:36","D",36911,NA,75,62
"468",128,2012,"2012-08-25","boxscore","BOS","BAL","L","Hellickson","Porcello","","3:37","N",37191,NA,77,66
"469",129,2012,"2012-08-26","boxscore","BOS","BAL","L","Gausman","Rodriguez","","2:58","D",36655,NA,76,64
"470",130,2012,"2012-08-27","boxscore","BOS","BAL","L","Miley","Fister","Brach","3:22","D",36625,NA,85,62
"471",138,2012,"2012-09-04","boxscore","BOS","TOR","L","Happ","Porcello","","3:25","N",34311,NA,73,63
"472",139,2012,"2012-09-05","boxscore","BOS","TOR","W-wo","Velazquez","Rowley","","6:00","N",33009,NA,82,66
"473",140,2012,"2012-09-06","boxscore","BOS","TOR","W","Fister","Biagini","","2:57","N",33190,NA,79,65
"474",141,2012,"2012-09-08","boxscore","BOS","TBR","W","Pomeranz","Archer","","3:14","N",34781,NA,82,67
"475",142,2012,"2012-09-09","boxscore","BOS","TBR","W","Sale","Andriese","","3:05","N",36734,NA,75,62
"476",143,2012,"2012-09-10","boxscore","BOS","TBR","L","Cobb","Porcello","Colome","3:22","D",35859,NA,69,56
"477",144,2012,"2012-09-12","boxscore","BOS","OAK","W","Rodriguez","Manaea","","3:06","N",34355,NA,73,53
"478",145,2012,"2012-09-13","boxscore","BOS","OAK","L","Cotton","Fister","","3:07","N",36366,NA,82,60
"479",146,2012,"2012-09-14","boxscore","BOS","OAK","W","Pomeranz","Gossett","","3:19","D",35470,NA,81,61
"480",156,2012,"2012-09-25","boxscore","BOS","TOR","L","Anderson","Pomeranz","Osuna","2:57","N",33940,NA,73,49
"481",157,2012,"2012-09-26","boxscore","BOS","TOR","L","Happ","Sale","","3:04","N",33999,NA,74,59
"482",158,2012,"2012-09-27","boxscore","BOS","TOR","W","Porcello","Estrada","","2:57","N",34445,NA,69,55
"483",159,2012,"2012-09-28","boxscore","BOS","HOU","L","Peacock","Rodriguez","","3:31","N",34222,NA,58,54
"484",160,2012,"2012-09-29","boxscore","BOS","HOU","L","Morton","Fister","Giles","2:47","N",36623,NA,57,54
"485",161,2012,"2012-09-30","boxscore","BOS","HOU","W","Pomeranz","McCullers","","3:19","D",35722,NA,59,53
"486",162,2012,"2012-10-01","boxscore","BOS","HOU","L","McHugh","Abad","Clippard","3:09","D",34517,NA,68,50
